lhgr,fuel_radius,gap_size,clad_thickness,coolant_temperature,time,volAverage(T),volAverage(Bu)
16666.7,0.0045,0.0002,0.0005,563.1,21332744.507137973,979.2232,6212.627
16666.7,0.0045,0.0002,0.0005,563.1,21676121.712203577,979.2155,6312.627
16666.7,0.0045,0.0002,0.0005,563.1,22019498.91726918,979.2081,6412.627
16666.7,0.0045,0.0002,0.0005,563.1,22362876.122334786,979.201,6512.627
16666.7,0.0045,0.0002,0.0005,563.1,22706253.32740039,979.1942,6612.627
16666.7,0.0045,0.0002,0.0005,563.1,23049630.532465994,979.1876,6712.627
16666.7,0.0045,0.0002,0.0005,563.1,23393007.7375316,979.1813,6812.627
16666.7,0.0045,0.0002,0.0005,563.1,23736384.942597203,979.1752,6912.627
16666.7,0.0045,0.0002,0.0005,563.1,24079762.147662807,979.1693,7012.627
16666.7,0.0045,0.0002,0.0005,563.1,24423139.35272841,979.1636,7112.627
16666.7,0.0045,0.0002,0.0005,563.1,24766516.557794016,979.1582,7212.627
16666.7,0.0045,0.0002,0.0005,563.1,25109893.76285962,979.1529,7312.627
16666.7,0.0045,0.0002,0.0005,563.1,25453270.967925224,979.1477,7412.627
16666.7,0.0045,0.0002,0.0005,563.1,25796648.17299083,979.1428,7512.627
16666.7,0.0045,0.0002,0.0005,563.1,26140025.378056433,979.138,7612.627
16666.7,0.0045,0.0002,0.0005,563.1,26483402.583122037,979.1333,7712.627
16666.7,0.0045,0.0002,0.0005,563.1,26826779.78818764,979.1287,7812.627
16666.7,0.0045,0.0002,0.0005,563.1,27170156.993253246,979.1243,7912.627
16666.7,0.0045,0.0002,0.0005,563.1,27513534.19831885,979.12,8012.627
16666.7,0.0045,0.0002,0.0005,563.1,27856911.403384455,979.1158,8112.627
16666.7,0.0045,0.0002,0.0005,563.1,28200288.60845006,979.1116,8212.627
16666.7,0.0045,0.0002,0.0005,563.1,28543665.813515667,979.1076,8312.627
16666.7,0.0045,0.0002,0.0005,563.1,28887043.018581275,979.1036,8412.627
16666.7,0.0045,0.0002,0.0005,563.1,29230420.223646883,979.0997,8512.627
16666.7,0.0045,0.0002,0.0005,563.1,29573797.42871249,979.0959,8612.627
16666.7,0.0045,0.0002,0.0005,563.1,29917174.6337781,979.092,8712.627
16666.7,0.0045,0.0002,0.0005,563.1,30260551.838843707,979.0883,8812.627
16666.7,0.0045,0.0002,0.0005,563.1,30603929.043909315,979.0846,8912.627
16666.7,0.0045,0.0002,0.0005,563.1,30947306.248974923,979.0809,9012.627
16666.7,0.0045,0.0002,0.0005,563.1,31290683.45404053,979.0772,9112.627
16666.7,0.0045,0.0002,0.0005,563.1,31634060.65910614,979.0735,9212.627
16666.7,0.0045,0.0002,0.0005,563.1,31977437.864171747,979.0698,9312.627
16666.7,0.0045,0.0002,0.0005,563.1,32320815.069237355,979.0662,9412.627
16666.7,0.0045,0.0002,0.0005,563.1,32664192.274302963,979.0625,9512.627
16666.7,0.0045,0.0002,0.0005,563.1,33007569.47936857,979.0588,9612.627
16666.7,0.0045,0.0002,0.0005,563.1,33350946.68443418,979.0551,9712.627
16666.7,0.0045,0.0002,0.0005,563.1,33694323.88949979,979.0514,9812.627
16666.7,0.0045,0.0002,0.0005,563.1,34037701.0945654,979.0476,9912.627
16666.7,0.0045,0.0002,0.0005,563.1,34381078.29963101,979.0439,10012.63
16666.7,0.0045,0.0002,0.0005,563.1,34724455.504696615,979.04,10112.63
16666.7,0.0045,0.0002,0.0005,563.1,35067832.70976222,979.0361,10212.63
16666.7,0.0045,0.0002,0.0005,563.1,35411209.91482783,979.0322,10312.63
16666.7,0.0045,0.0002,0.0005,563.1,35754587.11989344,979.0282,10412.63
16666.7,0.0045,0.0002,0.0005,563.1,36097964.32495905,979.0242,10512.63
16666.7,0.0045,0.0002,0.0005,563.1,36441341.530024655,979.0201,10612.63
16666.7,0.0045,0.0002,0.0005,563.1,36784718.73509026,979.0159,10712.63
16666.7,0.0045,0.0002,0.0005,563.1,37128095.94015587,979.0116,10812.63
16666.7,0.0045,0.0002,0.0005,563.1,37471473.14522148,979.0072,10912.63
16666.7,0.0045,0.0002,0.0005,563.1,37814850.35028709,979.0028,11012.63
16666.7,0.0045,0.0002,0.0005,563.1,38158227.555352695,978.9983,11112.63
16666.7,0.0045,0.0002,0.0005,563.1,38501604.7604183,978.9937,11212.63
16666.7,0.0045,0.0002,0.0005,563.1,38844981.96548391,978.989,11312.63
16666.7,0.0045,0.0002,0.0005,563.1,39188359.17054952,978.9842,11412.63
16666.7,0.0045,0.0002,0.0005,563.1,39531736.37561513,978.9792,11512.63
16666.7,0.0045,0.0002,0.0005,563.1,39875113.580680735,978.9742,11612.63
16666.7,0.0045,0.0002,0.0005,563.1,40218490.78574634,978.9691,11712.63
16666.7,0.0045,0.0002,0.0005,563.1,40561867.99081195,978.9638,11812.63
16666.7,0.0045,0.0002,0.0005,563.1,40905245.19587756,978.9584,11912.63
16666.7,0.0045,0.0002,0.0005,563.1,41248622.40094317,978.9529,12012.63
16666.7,0.0045,0.0002,0.0005,563.1,41591999.606008776,978.9473,12112.63
16666.7,0.0045,0.0002,0.0005,563.1,41935376.81107438,978.9416,12212.63
16666.7,0.0045,0.0002,0.0005,563.1,42278754.01613999,978.9357,12312.63
16666.7,0.0045,0.0002,0.0005,563.1,42622131.2212056,978.9297,12412.63
16666.7,0.0045,0.0002,0.0005,563.1,42965508.42627121,978.9236,12512.63
16666.7,0.0045,0.0002,0.0005,563.1,43308885.631336816,978.9173,12612.63
16666.7,0.0045,0.0002,0.0005,563.1,43652262.83640242,978.9108,12712.63
16666.7,0.0045,0.0002,0.0005,563.1,43995640.04146803,978.9042,12812.63
